type,id,project_id,submitter_id,aliquot_container,clinical_or_contrived,hours_to_freezer_lower,hours_to_freezer_upper,preservation_method,storage_temperature,aliquot_quantity,aliquot_volume,contrivance_method,methanol_added,samples.id#1,samples.submitter_id#1
aliquot,4f3381b3-8922-48fb-9c43-60097e5e856a,bpa-Sysmex_P0001_T1,108_aliquot_Streck_3d_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,a1dc926e-9553-4de4-9b63-c18643ddaf8c,108_sample_Streck_3d_storage_RT
aliquot,5b8185ba-6489-4bcf-9a53-2de09d00abcf,bpa-Sysmex_P0001_T1,109_aliquot_Streck_3d_storage_RT_agitation,Vial,Clinical,0,2,Frozen,-80,,2000,,,843fba5c-83bc-485b-9744-704afeec7af3,109_sample_Streck_3d_storage_RT_agitation
aliquot,b304fcd7-d0b5-4532-ac7f-e6fe1b4f047c,bpa-Sysmex_P0001_T1,110_aliquot_Streck_5d_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,8eabaffc-89ba-46a8-8cac-dca01bd90320,110_sample_Streck_5d_storage_RT
aliquot,be4e646b-0c8a-434f-98fa-0f191a4d4bac,bpa-Sysmex_P0001_T1,111_aliquot_K2EDTA_2h_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,5cf01c7e-2a55-4536-80ca-b9f0b6df6299,111_sample_K2EDTA_2h_storage_RT
aliquot,b67b1bc9-2c8f-4686-b98a-2d12363503b3,bpa-Sysmex_P0001_T1,112_aliquot_Streck_2h_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,c45911a7-468f-4cca-a927-7423b2f36c42,112_sample_Streck_2h_storage_RT
aliquot,6f93fc49-e7af-430d-89c1-112c2754d38e,bpa-Sysmex_P0001_T1,113_aliquot_Streck_3d_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,faaf72e0-2111-4c03-8e5f-4ba9a72bb3ab,113_sample_Streck_3d_storage_RT
aliquot,a25500bc-c16a-4ae6-8dee-5e3265b3ecdd,bpa-Sysmex_P0001_T1,114_aliquot_Streck_3d_storage_RT_agitation,Vial,Clinical,0,2,Frozen,-80,,2000,,,36f47c02-7244-4173-9ac5-5aac4e22bbb7,114_sample_Streck_3d_storage_RT_agitation
aliquot,7eae5922-e039-457f-ada6-da7c953debd6,bpa-Sysmex_P0001_T1,115_aliquot_Streck_5d_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,c042b86a-c248-48d1-a65c-5f3fddd8b36e,115_sample_Streck_5d_storage_RT
aliquot,d36fc936-fdc7-41e2-85f2-06bcfec05044,bpa-Sysmex_P0001_T1,116_aliquot_K2EDTA_2h_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,0fc503c6-ca65-4889-95e8-63f33702048d,116_sample_K2EDTA_2h_storage_RT
aliquot,b7579b53-27fe-43e6-bb80-a96f9a9309e9,bpa-Sysmex_P0001_T1,117_aliquot_Streck_2h_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,9f9176cb-269f-4e14-bc3b-2181250e55a3,117_sample_Streck_2h_storage_RT
aliquot,c853ef1e-7894-461f-a0c8-bf6e7a71c395,bpa-Sysmex_P0001_T1,118_aliquot_Streck_3d_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,9f69d4e2-9533-498f-97b6-c6bd20b04399,118_sample_Streck_3d_storage_RT
aliquot,618f8dd9-d2c1-45be-9296-f6115ae3c177,bpa-Sysmex_P0001_T1,119_aliquot_Streck_3d_storage_RT_agitation,Vial,Clinical,0,2,Frozen,-80,,2000,,,8ed10c7f-fff0-428a-a1db-d6f370a1d3c0,119_sample_Streck_3d_storage_RT_agitation
aliquot,169c8d72-91be-4e36-95a6-2f086f5a6fc2,bpa-Sysmex_P0001_T1,120_aliquot_Streck_5d_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,c40b6d6d-aa70-4a35-9530-cbf5a108a327,120_sample_Streck_5d_storage_RT
aliquot,a710b86b-27e3-4ccd-923d-28e895475b06,bpa-Sysmex_P0001_T1,121_aliquot_K2EDTA_2h_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,037de1e8-8886-4844-8be5-193a32972818,121_sample_K2EDTA_2h_storage_RT
aliquot,ef413f85-d5d0-4e84-8050-aabdc5d435b6,bpa-Sysmex_P0001_T1,122_aliquot_Streck_2h_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,e4a643c3-0541-4c83-8894-6b29b6321e7c,122_sample_Streck_2h_storage_RT
aliquot,cc44ea2f-439d-4c71-ae45-6a43f2b99039,bpa-Sysmex_P0001_T1,123_aliquot_Streck_3d_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,2a68cee2-af7f-454b-a6ee-5c8025c66343,123_sample_Streck_3d_storage_RT
aliquot,e5142248-9f38-46ab-8c3f-83c09885bf07,bpa-Sysmex_P0001_T1,124_aliquot_Streck_3d_storage_RT_agitation,Vial,Clinical,0,2,Frozen,-80,,2000,,,10dd621d-9934-488b-b504-3fa94d1a670f,124_sample_Streck_3d_storage_RT_agitation
aliquot,0befe20a-9625-40f6-a0e0-85bab4b10c69,bpa-Sysmex_P0001_T1,125_aliquot_Streck_5d_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,bf1655ce-71ba-40b9-9635-0570c8137f53,125_sample_Streck_5d_storage_RT
aliquot,11f4d288-36cb-4be1-8a8f-8c36910374f5,bpa-Sysmex_P0001_T1,126_aliquot_K2EDTA_2h_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,8d33f73a-378d-4c33-9a3c-1cc9daa805a5,126_sample_K2EDTA_2h_storage_RT
aliquot,bcd29bf9-c9a8-4f75-8855-9554d06af8e3,bpa-Sysmex_P0001_T1,127_aliquot_Streck_2h_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,74fc307f-1bd3-41cf-94cd-2efc5bdf981f,127_sample_Streck_2h_storage_RT
aliquot,b33196c3-5226-4d81-b3d6-b63cb600870f,bpa-Sysmex_P0001_T1,128_aliquot_Streck_3d_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,11547125-4e80-4e55-b23d-20d2d7b4fa16,128_sample_Streck_3d_storage_RT
aliquot,aedbb436-f8ac-474b-9aa7-73e29b8f8da5,bpa-Sysmex_P0001_T1,129_aliquot_Streck_3d_storage_RT_agitation,Vial,Clinical,0,2,Frozen,-80,,2000,,,f145c772-7ddf-4661-ae40-dbfd6303d335,129_sample_Streck_3d_storage_RT_agitation
aliquot,51c5b4eb-a3cc-4518-b30d-481833833b76,bpa-Sysmex_P0001_T1,130_aliquot_Streck_5d_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,f0d9e915-e9df-4a48-8aab-27202fc0e9aa,130_sample_Streck_5d_storage_RT
aliquot,3058a346-d4c1-42bd-a9cc-22850a076f32,bpa-Sysmex_P0001_T1,131_aliquot_K2EDTA_2h_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,3af3f0e4-42d2-4598-b608-a9143eb2c2dc,131_sample_K2EDTA_2h_storage_RT
aliquot,f3d61bc3-0919-4a9f-8a30-8ba63b21ac24,bpa-Sysmex_P0001_T1,132_aliquot_Streck_2h_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,4847704d-716e-446f-9e12-abc9575f3e7c,132_sample_Streck_2h_storage_RT
aliquot,c4777552-2a45-4b53-a5bd-e26a843a5fed,bpa-Sysmex_P0001_T1,133_aliquot_Streck_3d_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,166966d1-559c-49ea-aca7-fb0aff1e1b7d,133_sample_Streck_3d_storage_RT
aliquot,ce077b44-3c9a-426a-a7d8-96b018a7aa52,bpa-Sysmex_P0001_T1,031_aliquot_K2EDTA_2h_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,d0751cf3-8545-4fdf-8449-1c5ac602ccc2,031_sample_K2EDTA_2h_storage_RT
aliquot,58f0c521-5163-494f-93d8-4dd002062dcd,bpa-Sysmex_P0001_T1,032_aliquot_Streck_2h_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,fd539952-6afc-4c4f-8747-343ea1bf2970,032_sample_Streck_2h_storage_RT
aliquot,b5674093-2164-48b6-a3d8-740de0e3188a,bpa-Sysmex_P0001_T1,033_aliquot_Streck_3d_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,d246356b-233a-42c5-ab5c-bfb0da62e861,033_sample_Streck_3d_storage_RT
aliquot,994d1ee0-41d1-422c-a272-3b14327e68fb,bpa-Sysmex_P0001_T1,034_aliquot_Streck_3d_storage_RT_agitation,Vial,Clinical,0,2,Frozen,-80,,2000,,,3e396630-1b65-4e29-bd18-1e4640ef602e,034_sample_Streck_3d_storage_RT_agitation
aliquot,c386630d-cd1e-4323-a9ba-03ba3f7e1648,bpa-Sysmex_P0001_T1,035_aliquot_Streck_5d_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,c58f515f-3925-4ec1-b705-fade645a2ec7,035_sample_Streck_5d_storage_RT
aliquot,2ce005e0-2c8d-4835-9611-c0247a952f7b,bpa-Sysmex_P0001_T1,036_aliquot_K2EDTA_2h_storage_RT,Vial,Clinical,0,2,Frozen,-80,,2000,,,5e7419cb-a0ad-44d8-a431-740d5a7accaa,036_sample_K2EDTA_2h_storage_RT
