type,id,project_id,submitter_id,assay_instrument,assay_instrument_model,assay_method,assay_instrument_mode,assay_kit_name,assay_kit_vendor,assay_kit_version,cell_concentration,cell_count,experimental_step,molecular_concentration,analytes.id,analytes.submitter_id
quantification_assay,11798e74-be74-4b29-a64d-c9bec9729cdd,bpa-Sysmex_P0001_T1,091_qPCR_datapoint_96bp_K2EDTA_2h_storage_RT,Applied Biosystems Real-Time PCR System,ABI 7500 Fast Dx Real-Time PCR,qPCR,,,,,,,,0.4048616,7362ecd4-4ab4-4ff9-84b7-f8ae8deab125,091_analyte_K2EDTA_2h_storage_RT
quantification_assay,e48941eb-a114-4132-ba03-c48141efb052,bpa-Sysmex_P0001_T1,092_qPCR_datapoint_96bp_Streck_2h_storage_RT,Applied Biosystems Real-Time PCR System,ABI 7500 Fast Dx Real-Time PCR,qPCR,,,,,,,,0.046027911,599b7a7e-80b9-4dfb-bee9-787a11b67b1d,092_analyte_Streck_2h_storage_RT
quantification_assay,df6d8e2a-3dc3-4516-aff7-352e891dd283,bpa-Sysmex_P0001_T1,093_qPCR_datapoint_96bp_Streck_3d_storage_RT,Applied Biosystems Real-Time PCR System,ABI 7500 Fast Dx Real-Time PCR,qPCR,,,,,,,,0.028545244,06de2f3f-25bd-484e-9eee-8a94cc11b777,093_analyte_Streck_3d_storage_RT
quantification_assay,ee5d62e0-c829-485f-bd0f-b44e08d4c6a9,bpa-Sysmex_P0001_T1,094_qPCR_datapoint_96bp_Streck_3d_storage_RT_agitation,Applied Biosystems Real-Time PCR System,ABI 7500 Fast Dx Real-Time PCR,qPCR,,,,,,,,0.033802756,13071faa-0fac-4f1e-9059-56c6c1ff70c2,094_analyte_Streck_3d_storage_RT_agitation
quantification_assay,dfa1ae7a-8029-4c0d-a6c5-6512e9ca4a72,bpa-Sysmex_P0001_T1,095_qPCR_datapoint_96bp_Streck_5d_storage_RT,Applied Biosystems Real-Time PCR System,ABI 7500 Fast Dx Real-Time PCR,qPCR,,,,,,,,0.036359644,a0240833-a019-49bd-9e08-f75c2882e295,095_analyte_Streck_5d_storage_RT
quantification_assay,08505e52-6da0-4c70-b3d6-cf18097cdcce,bpa-Sysmex_P0001_T1,096_qPCR_datapoint_96bp_K2EDTA_2h_storage_RT,Applied Biosystems Real-Time PCR System,ABI 7500 Fast Dx Real-Time PCR,qPCR,,,,,,,,0.057141822,a6a977f4-6e7a-43a5-b252-7bdc5c0dd305,096_analyte_K2EDTA_2h_storage_RT
quantification_assay,284e6e19-f845-4518-b2a1-c23befa7f5ec,bpa-Sysmex_P0001_T1,097_qPCR_datapoint_96bp_Streck_2h_storage_RT,Applied Biosystems Real-Time PCR System,ABI 7500 Fast Dx Real-Time PCR,qPCR,,,,,,,,0.059663022,93034bbf-067e-49af-9bf6-b59ddc3af05c,097_analyte_Streck_2h_storage_RT
quantification_assay,4d65cf5d-426b-4e01-8062-cbdcd2277afc,bpa-Sysmex_P0001_T1,098_qPCR_datapoint_96bp_Streck_3d_storage_RT,Applied Biosystems Real-Time PCR System,ABI 7500 Fast Dx Real-Time PCR,qPCR,,,,,,,,0.048838533,2677fe5d-201f-49db-b876-59408082f8af,098_analyte_Streck_3d_storage_RT
quantification_assay,bdb5c40e-c8be-4dd6-b0f4-87e7ccbd9f3c,bpa-Sysmex_P0001_T1,099_qPCR_datapoint_96bp_Streck_3d_storage_RT_agitation,Applied Biosystems Real-Time PCR System,ABI 7500 Fast Dx Real-Time PCR,qPCR,,,,,,,,0.061042178,6045f6d5-f8b4-4cfe-94d6-9a47f1680a3e,099_analyte_Streck_3d_storage_RT_agitation
quantification_assay,15897f42-de38-481f-8ec3-87dc2d605924,bpa-Sysmex_P0001_T1,100_qPCR_datapoint_96bp_Streck_5d_storage_RT,Applied Biosystems Real-Time PCR System,ABI 7500 Fast Dx Real-Time PCR,qPCR,,,,,,,,0.070783289,498fd0ca-26a8-4af2-b2d7-411aabd4cf10,100_analyte_Streck_5d_storage_RT
quantification_assay,22a31c40-1e02-4df4-ac67-e5d339dfe7b5,bpa-Sysmex_P0001_T1,101_qPCR_datapoint_96bp_K2EDTA_2h_storage_RT,Applied Biosystems Real-Time PCR System,ABI 7500 Fast Dx Real-Time PCR,qPCR,,,,,,,,0.049517111,95a588e3-e418-458b-b8bc-5b2f8ccf5873,101_analyte_K2EDTA_2h_storage_RT
quantification_assay,dfda2d0f-9c7e-4daa-852b-d1d37cf8f9ac,bpa-Sysmex_P0001_T1,102_qPCR_datapoint_96bp_Streck_2h_storage_RT,Applied Biosystems Real-Time PCR System,ABI 7500 Fast Dx Real-Time PCR,qPCR,,,,,,,,0.033417511,0782f60a-d135-4d30-9f52-0d13c904b6a9,102_analyte_Streck_2h_storage_RT
quantification_assay,ac1e5ac9-da8f-4193-bfca-6ea4483fff69,bpa-Sysmex_P0001_T1,103_qPCR_datapoint_96bp_Streck_3d_storage_RT,Applied Biosystems Real-Time PCR System,ABI 7500 Fast Dx Real-Time PCR,qPCR,,,,,,,,0.0451924,493a1c51-56b3-4871-8065-ce6d7355d22d,103_analyte_Streck_3d_storage_RT
quantification_assay,6fb243cf-cb8e-4807-bdae-621befdc94b4,bpa-Sysmex_P0001_T1,104_qPCR_datapoint_96bp_Streck_3d_storage_RT_agitation,Applied Biosystems Real-Time PCR System,ABI 7500 Fast Dx Real-Time PCR,qPCR,,,,,,,,0.043018311,793466af-e339-4788-9fc2-89d92322a25d,104_analyte_Streck_3d_storage_RT_agitation
quantification_assay,b3aa087e-77f0-43ec-9a8e-d41c97fb6529,bpa-Sysmex_P0001_T1,105_qPCR_datapoint_96bp_Streck_5d_storage_RT,Applied Biosystems Real-Time PCR System,ABI 7500 Fast Dx Real-Time PCR,qPCR,,,,,,,,0.037575511,9ef0bacf-71b3-4e46-80da-ba5a4b7e74fd,105_analyte_Streck_5d_storage_RT
quantification_assay,5f847d69-87c7-43fa-adfe-90c9a0867ad4,bpa-Sysmex_P0001_T1,106_qPCR_datapoint_96bp_K2EDTA_2h_storage_RT,Applied Biosystems Real-Time PCR System,ABI 7500 Fast Dx Real-Time PCR,qPCR,,,,,,,,0.090503111,edd682f3-421e-4c8d-b4b2-360ec719d0e0,106_analyte_K2EDTA_2h_storage_RT
quantification_assay,0fa1d471-f536-42a2-a7e8-725311970cb3,bpa-Sysmex_P0001_T1,107_qPCR_datapoint_96bp_Streck_2h_storage_RT,Applied Biosystems Real-Time PCR System,ABI 7500 Fast Dx Real-Time PCR,qPCR,,,,,,,,0.093338667,acaac915-4750-4cf1-a10c-ff40162300c5,107_analyte_Streck_2h_storage_RT
quantification_assay,5bcf97ef-eee0-4005-910c-89e7355b7c2d,bpa-Sysmex_P0001_T1,108_qPCR_datapoint_96bp_Streck_3d_storage_RT,Applied Biosystems Real-Time PCR System,ABI 7500 Fast Dx Real-Time PCR,qPCR,,,,,,,,0.0868604,3269a984-7ec3-4ba2-afaf-9aa1e44f88f3,108_analyte_Streck_3d_storage_RT
quantification_assay,f1752373-4d0c-46f6-b315-60adcb2121c1,bpa-Sysmex_P0001_T1,109_qPCR_datapoint_96bp_Streck_3d_storage_RT_agitation,Applied Biosystems Real-Time PCR System,ABI 7500 Fast Dx Real-Time PCR,qPCR,,,,,,,,0.088031778,df06a1a1-cb06-4ef2-a2d7-4732b7a39af6,109_analyte_Streck_3d_storage_RT_agitation
quantification_assay,85d7d744-a087-4086-b68b-fb605c311e11,bpa-Sysmex_P0001_T1,110_qPCR_datapoint_96bp_Streck_5d_storage_RT,Applied Biosystems Real-Time PCR System,ABI 7500 Fast Dx Real-Time PCR,qPCR,,,,,,,,0.088293822,a8a5f016-61e4-46d8-94f9-ca5ccb4fc768,110_analyte_Streck_5d_storage_RT
